"date","mjd","trans"
2015-06-22,57195,NA
2015-06-23,57196,NA
2015-06-24,57197,NA
2015-06-25,57198,NA
2015-06-26,57199,NA
2015-06-27,57200,NA
2015-06-28,57201,NA
2015-06-29,57202,0.774152532714572
2015-06-30,57203,NA
2015-07-01,57204,0.779050382791118
2015-07-02,57205,0.755506300825369
2015-07-03,57206,0.768418288165119
2015-07-04,57207,0.778533371235315
2015-07-05,57208,0.787054764658344
2015-07-06,57209,NA
2015-07-07,57210,0.557458837386437
2015-07-08,57211,NA
2015-07-09,57212,0.651651634034737
2015-07-10,57213,NA
2015-07-11,57214,0.626175162915234
2015-07-12,57215,0.700312631998402
2015-07-13,57216,0.633475802777355
2015-07-14,57217,NA
2015-07-15,57218,NA
2015-07-16,57219,NA
2015-07-17,57220,0.693848061022989
2015-07-18,57221,0.737975249690497
2015-07-19,57222,0.739923443102139
2015-07-20,57223,0.749382930839716
2015-07-21,57224,NA
2015-07-22,57225,0.669278584323052
2015-07-23,57226,0.580542159578117
2015-07-24,57227,0.664423883754012
2015-07-25,57228,0.76843209615249
2015-07-26,57229,0.75837106030972
2015-07-27,57230,0.765683728530926
2015-07-28,57231,0.759720354157966
2015-07-29,57232,0.754491179569959
2015-07-30,57233,0.754926778369013
2015-07-31,57234,NA
2015-08-01,57235,0.74338808681143
2015-08-02,57236,0.738829695622018
2015-08-03,57237,0.739214762766366
2015-08-04,57238,0.670673895047718
2015-08-05,57239,0.729337256289027
2015-08-06,57240,NA
2015-08-07,57241,0.749297519140668
2015-08-08,57242,NA
2015-08-09,57243,NA
2015-08-10,57244,NA
2015-08-11,57245,NA
2015-08-12,57246,NA
2015-08-13,57247,NA
2015-08-14,57248,NA
2015-08-15,57249,0.671129652257747
2015-08-16,57250,0.733855122986175
2015-08-17,57251,0.756656702164683
2015-08-18,57252,0.775042042658476
2015-08-19,57253,0.762816918234988
2015-08-20,57254,0.737437471016249
2015-08-21,57255,NA
2015-08-22,57256,NA
2015-08-23,57257,0.782703362047985
2015-08-24,57258,0.770971454683025
2015-08-25,57259,0.771613560717646
2015-08-26,57260,0.769966252282819
2015-08-27,57261,0.764753816581273
2015-08-28,57262,0.765159919007457
2015-08-29,57263,NA
2015-08-30,57264,0.747153569475522
2015-08-31,57265,0.757694171556166
2015-09-01,57266,0.753601614067833
2015-09-02,57267,0.732235432686197
2015-09-03,57268,0.77106059282823
2015-09-04,57269,0.759783168684865
2015-09-05,57270,0.74531966856369
2015-09-06,57271,0.759472976354059
2015-09-07,57272,0.746164722407171
2015-09-08,57273,0.747999801393947
2015-09-09,57274,0.753660018694141
2015-09-10,57275,0.732622894428265
2015-09-11,57276,NA
2015-09-12,57277,NA
2015-09-13,57278,NA
2015-09-14,57279,NA
2015-09-15,57280,0.763733149647376
2015-09-16,57281,0.771844323600307
2015-09-17,57282,0.759265447381057
2015-09-18,57283,NA
2015-09-19,57284,NA
2015-09-20,57285,NA
2015-09-21,57286,NA
2015-09-22,57287,NA
2015-09-23,57288,NA
2015-09-24,57289,NA
2015-09-25,57290,NA
2015-09-26,57291,NA
2015-09-27,57292,NA
2015-09-28,57293,0.761764635613865
2015-09-29,57294,0.758944609030825
2015-09-30,57295,0.757850717522505
2015-10-01,57296,0.739780983207747
2015-10-02,57297,NA
2015-10-03,57298,NA
2015-10-04,57299,NA
2015-10-05,57300,NA
2015-10-06,57301,NA
2015-10-07,57302,NA
2015-10-08,57303,NA
2015-10-09,57304,NA
2015-10-10,57305,NA
2015-10-11,57306,NA
2015-10-12,57307,NA
2015-10-13,57308,NA
2015-10-14,57309,NA
2015-10-15,57310,NA
2015-10-16,57311,NA
2015-10-17,57312,NA
2015-10-18,57313,NA
2015-10-19,57314,NA
2015-10-20,57315,NA
2015-10-21,57316,NA
2015-10-22,57317,NA
2015-10-23,57318,NA
2015-10-24,57319,NA
2015-10-25,57320,NA
2015-10-26,57321,NA
2015-10-27,57322,0.740475040406286
2015-10-28,57323,NA
2015-10-29,57324,0.698157480459732
2015-10-30,57325,0.738286126137895
2015-10-31,57326,NA
2015-11-01,57327,NA
2015-11-02,57328,NA
2015-11-03,57329,0.74897179000438
2015-11-04,57330,0.729768918011365
2015-11-05,57331,0.732874798518249
2015-11-06,57332,0.737516440295348
2015-11-07,57333,0.742815487556188
2015-11-08,57334,0.732668012251125
2015-11-09,57335,0.672616619115964
2015-11-10,57336,NA
2015-11-11,57337,NA
2015-11-12,57338,NA
2015-11-13,57339,NA
2015-11-14,57340,NA
2015-11-15,57341,NA
2015-11-16,57342,0.663155073066701
2015-11-17,57343,0.688710237373091
2015-11-18,57344,0.722200740366682
2015-11-19,57345,0.670400223158492
2015-11-20,57346,NA
2015-11-21,57347,0.720928314260352
2015-11-22,57348,0.723422218708332
2015-11-23,57349,NA
2015-11-24,57350,0.755023143080003
2015-11-25,57351,NA
2015-11-26,57352,NA
2015-11-27,57353,0.755001292388515
2015-11-28,57354,NA
2015-11-29,57355,0.722501757995101
2015-11-30,57356,NA
2015-12-01,57357,NA
2015-12-02,57358,NA
2015-12-03,57359,NA
2015-12-04,57360,NA
2015-12-05,57361,NA
2015-12-06,57362,NA
2015-12-07,57363,NA
2015-12-08,57364,NA
2015-12-09,57365,NA
2015-12-10,57366,NA
2015-12-11,57367,NA
2015-12-12,57368,NA
2015-12-13,57369,NA
2015-12-14,57370,NA
2015-12-15,57371,NA
2015-12-16,57372,NA
2015-12-17,57373,0.679033515324388
2015-12-18,57374,0.739115053285863
2015-12-19,57375,0.75237311624925
2015-12-20,57376,NA
2015-12-21,57377,NA
2015-12-22,57378,NA
2015-12-23,57379,0.74397325342218
2015-12-24,57380,0.748483646125304
2015-12-25,57381,0.749244001401956
2015-12-26,57382,0.706451265275671
2015-12-27,57383,NA
2015-12-28,57384,0.725164265511597
2015-12-29,57385,NA
2015-12-30,57386,NA
2015-12-31,57387,NA
2016-01-01,57388,NA
2016-01-02,57389,NA
2016-01-03,57390,NA
2016-01-04,57391,NA
2016-01-05,57392,NA
2016-01-06,57393,NA
2016-01-07,57394,0.749202242135657
2016-01-08,57395,0.736346314718189
2016-01-09,57396,NA
2016-01-10,57397,NA
2016-01-11,57398,0.740909150806548
2016-01-12,57399,NA
2016-01-13,57400,NA
2016-01-14,57401,NA
2016-01-15,57402,NA
2016-01-16,57403,NA
2016-01-17,57404,NA
2016-01-18,57405,NA
2016-01-19,57406,0.737695256966939
2016-01-20,57407,0.747556672372058
2016-01-21,57408,0.742276726871032
2016-01-22,57409,NA
2016-01-23,57410,NA
2016-01-24,57411,NA
2016-01-25,57412,0.723742665001477
2016-01-26,57413,NA
2016-01-27,57414,0.719194547813686
2016-01-28,57415,NA
2016-01-29,57416,NA
2016-01-30,57417,NA
2016-01-31,57418,0.747237793177459
2016-02-01,57419,0.579222517350917
2016-02-02,57420,NA
2016-02-03,57421,NA
2016-02-04,57422,NA
2016-02-05,57423,NA
2016-02-06,57424,NA
2016-02-07,57425,NA
